"Name","State","Notes","User","Tags","Created","Runtime","Sweep","acc","avg_loss","f1-score","loss","precision","recall","test_accuracy","test_f1","test_precision","test_recall","val_loss","batch_size","dropout_rate","learning_rate","method","metric.goal","metric.name","name","optimizer","parameters.batch_sizes","parameters.dropout_rate.distribution","parameters.dropout_rate.max","parameters.dropout_rate.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","program","weight_decay","test.accuracy","test.f1","test.precision","test.recall","val"
"radiant-smoke-7","finished","Propaganda classification with BERT","","","2024-05-14T17:15:19.000Z","432","","0.6056547619047619","0.07347740655446924","0.610237581676707","0.02828577719628811","0.6259461495691012","0.6111111111111112","0.6344086021505376","0.6343447119659039","0.681243890518084","0.6344086021505376","1.3271074039595467","","","","","","","","","","","","","","","","","","","","","","","","","",""
"different-wind-9","finished","Propaganda classification with BERT","","","2024-05-14T17:36:06.000Z","390","","0.6458333333333333","0.06159034066992562","0.6487549520869161","0.031594518572092056","0.6536947154340664","0.6481481481481481","0.5913978494623656","0.5933855005118334","0.6152461039557814","0.5913978494623656","1.25792281968253","","","","","","","","","","","","","","","","","","","","","","","","","",""
"giddy-blaze-14","finished","Propaganda classification with BERT","","","2024-05-15T16:25:53.000Z","66","","","1.978048167577604","","1.840545654296875","","","0.3763440860215054","0.3409193437784177","0.48828984793972247","0.3763440860215054","","","","","","","","","","","","","","","","","","","","","","","0.3763440860215054","0.3409193437784177","0.48828984793972247","0.3763440860215054","[{""acc"":0.3657407407407408},{""loss"":1.8164560454232352},{""precision"":0.3954496292459255},{""recall"":0.3657407407407408},{""f1-score"":0.2970234318977479}]"
"feasible-thunder-33","finished","Propaganda classification with BERT","","","2024-05-15T17:03:07.000Z","47","","","1.997219699185069","","1.8738353252410889","","","0.3763440860215054","0.32978238607270866","0.31799386050659395","0.3763440860215054","","","","","","","","","","","","","","","","","","","","","","","0.3763440860215054","0.32978238607270866","0.31799386050659395","0.3763440860215054","[{""acc"":0.375},{""loss"":1.7749912909099037},{""precision"":0.4469308565662733},{""recall"":0.375},{""f1-score"":0.34608288356509614}]"
"ethereal-river-10","finished","Propaganda classification with BERT","","","2024-05-15T10:58:02.000Z","143","","0.26851851851851855","1.998862583462785","0.19215167256115537","1.8716861009597776","0.2261654073248276","0.26851851851851855","0.3010752688172043","0.2422313305485871","0.26834396786009684","0.3010752688172043","1.82958345753806","","","","","","","","","","","","","","","","","","","","","","","","","",""
"wild-sweep-1","failed","Propaganda classification with BERT","","","2024-05-15T16:42:03.000Z","6","ic6whqd4","","","","","","","","","","","","64","0.4776434692024969","0.015275761701532754","","","","","AdamW","","","","","","","","","","","","","0.0003149340147785637","","","","",""
"fresh-sweep-1","crashed","-","","","2024-05-15T16:36:55.000Z","0","ubjzt03c","","","","","","","","","","","","32","0.4408031197809747","0.042882919236389774","","","","","AdamW","","","","","","","","","","","","","0.0004501880532172563","","","","",""
"firm-glade-15","finished","Propaganda classification with BERT","","","2024-05-15T16:35:46.000Z","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"efficient-serenity-19","finished","Propaganda classification with BERT","","","2024-05-15T16:36:47.000Z","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"blooming-frost-28","killed","Propaganda classification with BERT","","","2024-05-15T17:33:12.000Z","148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dulcet-hill-13","failed","Propaganda classification with BERT","","","2024-05-15T14:50:05.000Z","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lilac-sweep-1","failed","Propaganda classification with BERT","","","2024-05-15T16:41:34.000Z","5","ksadum8j","","","","","","","","","","","","16","0.3425888041346525","0.05149890338575433","","","","","RMSProp","","","","","","","","","","","","","0.0005530846660037737","","","","",""
"splendid-sweep-2","crashed","-","","","2024-05-15T16:42:22.000Z","0","ic6whqd4","","","","","","","","","","","","64","0.4333175636444836","0.08987497179634439","","","","","SGD","","","","","","","","","","","","","0.000692020507166461","","","","",""
"bright-sweep-1","crashed","Propaganda classification with BERT","","","2024-05-15T16:43:50.000Z","0","936z0km1","","","","","","","","","","","","32","0.3683084284494339","0.06670216501450518","","","","","AdamW","","","","","","","","","","","","","0.0004236077504658316","","","","",""
"stilted-sweep-1","failed","Propaganda classification with BERT","","","2024-05-15T16:58:21.000Z","5","ocznpwd7","","","","","","","","","","","","16","0.4181881944150277","0.0911935167283876","","","","","RMSProp","","","","","","","","","","","","","0.0008362714158894369","","","","",""
"fallen-sweep-2","crashed","-","","","2024-05-15T16:36:08.000Z","0","x56vdki3","","","","","","","","","","","","16","0.4147048609290644","0.020466173261082132","","","","","RMSProp","","","","","","","","","","","","","0.00021836516090800463","","","","",""
"genial-sweep-1","crashed","-","","","2024-05-15T16:35:48.000Z","0","x56vdki3","","","","","","","","","","","","16","0.3639636171921903","0.012677400858592482","","","","","SGD","","","","","","","","","","","","","0.00034953648745832805","","","","",""
"usual-sweep-2","crashed","Propaganda classification with BERT","","","2024-05-15T16:58:31.000Z","0","ocznpwd7","","","","","","","","","","","","32","0.3983435896470805","0.02565422564078705","","","","","RMSProp","","","","","","","","","","","","","0.00019714636428940933","","","","",""
"rose-sweep-2","crashed","Propaganda classification with BERT","","","2024-05-15T16:41:44.000Z","5","ksadum8j","","","","","","","","","","","","64","0.35731707048809525","0.031208618260113688","","","","","AdamW","","","","","","","","","","","","","0.0006849693570258322","","","","",""